w_transactionID,w_amountWithdrawn,w_userID,w_accountID
1,1661.13,100,1
2,80.12,99,2
3,42.37,98,3
4,801.3,97,4
5,572.07,97,4
6,390.96,97,4
7,3349.08,96,5
8,556.2,96,5
9,241.24,96,5
10,103.78,95,6
11,278.97,95,6
12,282.82,95,6
13,91.42,95,6
14,63.84,94,7
15,14.8,94,7
16,2746.65,93,8
17,79.15,93,8
18,115.25,92,9
19,2436.19,91,10
20,298.64,91,10
21,57.09,90,11
22,143.13,89,12
23,889.31,89,12
24,296.13,89,12
25,33.42,89,12
26,182.68,89,12
27,1805.47,88,13
28,678.11,88,13
29,160.64,88,13
30,864.87,87,14
31,402.01,87,14
32,328.87,87,14
33,154.19,87,14
34,4084.81,86,15
35,90.49,86,15
36,135.3,86,15
37,51,85,16
38,37.89,85,16
39,1313.2,85,16
40,105.91,84,17
41,259.28,84,17
42,6.45,84,17
43,207.46,83,18
44,169.04,83,18
45,45.6,83,18
46,4.54,83,18
47,190.53,82,19
48,311.68,82,19
49,758.32,82,19
50,316.84,81,20
51,364.23,81,20
52,1400.97,80,21
53,314.46,80,21
54,1572.45,79,22
55,806.83,79,22
56,13.68,79,22
57,233.23,79,22
58,45.53,79,22
59,270.17,78,23
60,46.22,78,23
61,96.92,78,23
62,161.02,78,23
63,416.94,78,23
64,3480.54,77,24
65,2165.8,77,24
66,1755.06,76,25
67,219.12,76,25
68,29.91,75,26
69,16.93,75,26
70,15.97,75,26
71,7,75,26
72,185.21,74,27
73,46.57,74,27
74,14.4,74,27
75,867.21,73,28
76,251.29,73,28
77,90.78,73,28
78,29.91,72,29
79,6.58,72,29
80,19.52,71,30
81,781.54,71,30
82,1393.06,71,30
83,773.56,71,30
84,51.92,70,31
85,16.07,70,31
86,3485.03,70,31
87,2.79,70,31
88,226.49,69,32
89,77.65,69,32
90,502.28,68,33
91,199.3,67,34
92,367.69,67,34
93,45.59,67,34
94,45.67,67,34
95,1009.33,67,34
96,259.13,66,35
97,292.4,66,35
98,352.51,66,35
99,61.52,65,36
100,142.14,65,36
101,3458.47,65,36
102,67.07,65,36
103,1688.52,64,37
104,163.5,64,37
105,46.95,64,37
106,34.7,63,38
107,79.03,63,38
108,339.93,63,38
109,5.38,62,39
110,208.39,62,39
111,115.99,61,40
112,256.86,61,40
113,1793.98,60,41
114,135.73,60,41
115,971.28,60,41
116,78.68,60,41
117,378.8,60,41
118,102.44,59,42
119,12.51,59,42
120,192.93,58,43
121,1886.51,57,44
122,180.46,57,44
123,200.27,57,44
124,225.84,56,45
125,103.09,56,45
126,74.97,56,45
127,19.56,56,45
128,17.83,55,46
129,3727.01,55,46
130,823.22,55,46
131,17.67,55,46
132,120.7,54,47
133,3186.28,54,47
134,120.74,54,47
135,946.79,54,47
136,32.36,53,48
137,396.54,52,49
138,272.07,51,50
139,290.52,50,51
140,733.83,49,52
141,4272.28,49,52
142,98.14,49,52
143,1556.83,49,52
144,977.47,48,53
145,130.45,48,53
146,106.3,48,53
147,679.84,48,53
148,53.16,48,53
149,1611.93,47,54
150,1018.02,46,55
151,24.14,46,55
152,148.51,46,55
153,70.55,45,56
154,93.76,45,56
155,235.42,44,57
156,701.65,43,58
157,1079.24,43,58
158,1347.54,43,58
159,6.97,42,59
160,149.69,42,59
161,164.19,42,59
162,47.64,42,59
163,179.66,41,60
164,189.3,41,60
165,86.03,41,60
166,2365.73,40,61
167,931.62,40,61
168,150.23,39,62
169,137.81,39,62
170,708.8,39,62
171,153.17,39,62
172,202.38,39,62
173,59.55,38,63
174,54.94,38,63
175,2321.75,38,63
176,327.88,38,63
177,376.69,37,64
178,1638.69,37,64
179,1130.57,37,64
180,23.77,37,64
181,486.11,37,64
182,44.38,36,65
183,1448.17,36,65
184,64.68,36,65
185,940.58,36,65
186,1514.83,36,65
187,90.82,35,66
188,214.72,34,67
189,555.83,34,67
190,107.27,34,67
191,268.52,34,67
192,63.34,34,67
193,239.84,33,68
194,128.68,33,68
195,416.27,33,68
196,323.36,33,68
197,3582.74,32,69
198,120.19,32,69
199,24.97,32,69
200,143.33,32,69
201,4258.83,31,70
202,2307.02,31,70
203,931.8,31,70
204,15.05,31,70
205,806.27,31,70
206,2072.42,30,71
207,366.34,30,71
208,1031,30,71
209,14.35,30,71
210,944.82,30,71
211,1170.08,29,72
212,1199.77,29,72
213,78.96,29,72
214,70.28,28,73
215,134.9,28,73
216,3137.09,28,73
217,102.18,27,74
218,1093.66,27,74
219,1327.01,26,75
220,54.45,26,75
221,28.09,26,75
222,2506.23,26,75
223,33.04,26,75
224,134.27,25,76
225,8.09,25,76
226,2979.12,24,77
227,2198.57,23,78
228,206.86,23,78
229,82.33,23,78
230,388.62,23,78
231,883.72,23,78
232,197.76,22,79
233,54.12,22,79
234,2.03,21,80
235,123.91,21,80
236,111.29,21,80
237,31.8,21,80
238,3763.5,20,81
239,143.71,19,82
240,1236.7,19,82
241,1748.61,19,82
242,3239.35,18,83
243,53.78,18,83
244,907.41,18,83
245,202.29,18,83
246,93.75,18,83
247,1695.24,17,84
248,21.5,16,85
249,304.92,15,86
250,28.28,15,86
251,158.93,14,87
252,216.17,14,87
253,178.29,13,88
254,1665.99,13,88
255,141.05,13,88
256,32.6,13,88
257,1444.37,12,89
258,35.1,12,89
259,1221.32,12,89
260,75.96,12,89
261,254.53,12,89
262,118.32,11,90
263,455.08,11,90
264,9.74,11,90
265,37.31,11,90
266,47.78,10,91
267,169.09,10,91
268,109.99,10,91
269,53.22,9,92
270,8.56,8,93
271,734.08,8,93
272,210.65,8,93
273,115.46,8,93
274,1013.98,8,93
275,1095.16,7,94
276,306.95,7,94
277,652.4,7,94
278,3297.32,6,95
279,613.7,6,95
280,139.74,5,96
281,746.71,5,96
282,568.23,5,96
283,154.94,4,97
284,3649.41,3,98
285,2260.93,3,98
286,169.01,3,98
287,1084.72,2,99
288,459.05,1,100
289,235.99,1,100
290,173.25,1,100
291,219.73,1,100
292,50,101,101
293,50,102,102
